order_id,user_id,order_date,order_amount,status
1,1,2024-06-30,2482.11,paid
2,1,2024-05-19,1636.15,returned
3,1,2024-05-26,4199.52,returned
4,2,2024-05-22,3096.6,created
5,2,2024-05-29,1171.39,cancelled
6,2,2024-06-13,883.31,paid
7,4,2024-06-24,3228.43,cancelled
8,4,2024-06-05,3990.62,returned
9,4,2024-06-27,4588.27,delivered
10,4,2024-07-11,4955.14,delivered
11,5,2024-07-14,771.04,created
12,5,2024-06-04,3314.82,delivered
13,5,2024-05-22,1206.76,paid
14,5,2024-07-07,837.79,created
15,6,2024-06-27,3602.17,returned
16,6,2024-06-12,646.88,delivered
17,6,2024-06-11,3663.44,returned
18,8,2024-06-06,4657.6,cancelled
19,8,2024-06-03,2413.13,cancelled
20,8,2024-06-05,3414.36,delivered
21,8,2024-05-28,821.34,paid
22,8,2024-06-13,3177.7,cancelled
23,9,2024-06-26,1059.59,delivered
24,9,2024-06-23,4742.04,cancelled
25,10,2024-07-01,2469.91,cancelled
26,10,2024-05-18,4502.4,delivered
27,10,2024-07-12,1626.66,created
28,10,2024-06-06,4828.6,cancelled
29,11,2024-05-17,4998.08,delivered
30,11,2024-07-09,681.04,paid
31,11,2024-06-29,2835.34,returned
32,11,2024-06-11,1316.7,cancelled
33,12,2024-07-01,4860.75,returned
34,12,2024-06-17,2337.57,delivered
35,12,2024-05-25,4359.8,delivered
36,13,2024-07-02,1796.98,returned
37,13,2024-07-07,665.14,created
38,13,2024-06-14,1635.79,created
39,14,2024-07-03,4212.17,created
40,14,2024-07-06,2578.89,created
41,14,2024-06-02,2832.98,cancelled
42,15,2024-07-14,2489.18,created
43,15,2024-06-03,1701.75,paid
44,15,2024-06-11,2471.52,returned
45,18,2024-07-13,4096.91,paid
46,18,2024-06-14,2978.78,cancelled
47,18,2024-06-23,919.44,created
48,18,2024-06-28,4761.77,paid
49,18,2024-07-02,4696.94,delivered
50,19,2024-06-10,2369.71,returned
51,19,2024-06-29,1596.79,cancelled
52,19,2024-05-29,2226.14,cancelled
53,19,2024-07-03,3858.32,paid
54,21,2024-06-24,2029.44,cancelled
55,21,2024-06-09,4192.47,delivered
56,22,2024-06-12,4268.64,cancelled
57,22,2024-07-01,4393.67,returned
58,22,2024-07-06,2679.54,delivered
59,22,2024-07-07,3932.93,returned
60,22,2024-06-28,4697.84,paid
61,23,2024-06-07,3073.09,paid
62,23,2024-06-23,696.41,returned
63,23,2024-06-21,2237.35,paid
64,23,2024-07-02,4841.71,paid
65,23,2024-07-02,4844.09,delivered
66,25,2024-05-24,2866.78,returned
67,25,2024-05-16,3751.0,returned
68,25,2024-05-29,836.73,delivered
69,26,2024-07-14,3617.17,created
70,26,2024-06-15,4335.54,cancelled
71,27,2024-06-14,3320.6,returned
72,27,2024-07-06,661.55,created
73,27,2024-06-06,3340.22,delivered
74,28,2024-05-23,2452.87,created
75,29,2024-05-24,2496.55,delivered
76,29,2024-05-17,706.96,created
77,29,2024-06-12,2113.09,returned
78,29,2024-05-29,1598.89,returned
79,29,2024-07-08,3568.1,paid
80,30,2024-05-31,855.36,returned
81,31,2024-06-07,2739.5,cancelled
82,31,2024-05-28,1544.85,delivered
83,31,2024-06-28,1648.97,created
84,31,2024-06-29,4555.44,cancelled
85,32,2024-05-22,2487.78,delivered
86,33,2024-06-13,3375.22,returned
87,33,2024-06-08,2555.76,delivered
88,33,2024-06-03,4997.18,returned
89,33,2024-05-25,1567.43,cancelled
90,34,2024-07-09,1831.43,delivered
91,34,2024-05-17,4900.75,returned
92,35,2024-05-15,3046.68,created
93,35,2024-07-12,3853.27,delivered
94,36,2024-07-12,4108.69,paid
95,37,2024-06-02,3294.01,paid
96,37,2024-07-14,937.24,created
97,37,2024-06-13,4048.75,created
98,37,2024-07-10,2141.88,paid
99,37,2024-05-23,4593.33,delivered
100,38,2024-06-24,1290.38,paid
101,38,2024-07-06,4444.07,delivered
102,38,2024-07-05,2758.08,delivered
103,38,2024-05-30,1656.37,returned
104,38,2024-06-12,3859.52,delivered
105,40,2024-05-22,1133.41,paid
106,40,2024-06-22,4852.71,cancelled
107,40,2024-06-19,906.36,returned
108,42,2024-07-06,1056.15,delivered
109,42,2024-06-09,3130.52,delivered
110,44,2024-06-06,2621.65,cancelled
111,44,2024-07-08,1976.03,cancelled
112,44,2024-06-05,3414.44,returned
113,44,2024-06-13,3421.58,created
114,44,2024-05-28,704.06,created
115,45,2024-07-01,1022.54,paid
116,45,2024-07-06,1110.49,returned
117,46,2024-07-06,2386.07,paid
118,46,2024-06-24,3447.15,returned
119,47,2024-06-23,4725.74,delivered
120,47,2024-05-18,3606.26,paid
121,47,2024-06-27,2501.13,paid
122,47,2024-06-19,947.1,delivered
123,48,2024-06-18,772.48,delivered
124,48,2024-06-02,4856.93,returned
125,48,2024-05-23,3482.46,cancelled
126,48,2024-05-17,727.6,delivered
127,49,2024-05-27,4041.4,paid
128,51,2024-06-04,3138.72,paid
129,51,2024-06-15,3984.66,cancelled
130,51,2024-05-15,1747.74,paid
131,51,2024-05-27,2930.97,paid
132,53,2024-05-17,1093.11,delivered
133,53,2024-06-07,3149.84,created
134,53,2024-05-31,1694.15,paid
135,53,2024-06-24,2867.38,created
136,53,2024-06-30,2517.24,delivered
137,54,2024-07-11,990.74,cancelled
138,54,2024-06-05,4754.37,created
139,54,2024-07-04,1857.34,created
140,54,2024-05-20,4993.64,returned
141,55,2024-05-25,2706.21,returned
142,55,2024-05-22,4546.7,delivered
143,55,2024-07-13,1167.5,paid
144,56,2024-07-14,3348.85,cancelled
145,56,2024-06-15,2214.07,cancelled
146,57,2024-06-12,2541.72,cancelled
147,57,2024-06-25,946.3,created
148,57,2024-07-07,3743.78,paid
149,57,2024-06-25,2532.0,paid
150,58,2024-06-16,4223.39,returned
151,58,2024-06-24,3783.26,delivered
152,58,2024-06-25,1906.36,delivered
153,59,2024-05-29,3590.69,returned
154,59,2024-05-21,910.51,created
155,61,2024-05-24,3850.65,delivered
156,61,2024-05-27,3003.67,cancelled
157,61,2024-07-08,3027.58,created
158,62,2024-06-18,4431.23,returned
159,62,2024-05-19,4857.79,cancelled
160,62,2024-06-14,2082.41,cancelled
161,63,2024-06-04,1196.29,returned
162,63,2024-06-05,4312.74,delivered
163,63,2024-07-08,2154.02,delivered
164,63,2024-07-09,1517.72,returned
165,64,2024-07-14,3261.08,cancelled
166,64,2024-05-17,3240.48,delivered
167,64,2024-05-17,1311.87,delivered
168,64,2024-06-16,2079.61,paid
169,65,2024-07-08,3458.05,created
170,66,2024-05-17,912.91,cancelled
171,67,2024-06-20,2389.25,delivered
172,68,2024-06-19,1902.37,delivered
173,69,2024-07-11,882.31,created
174,69,2024-05-30,1208.34,cancelled
175,69,2024-05-19,3532.86,delivered
176,69,2024-06-27,3478.72,returned
177,70,2024-06-26,2363.83,paid
178,70,2024-07-03,1012.18,returned
179,70,2024-05-25,1774.61,cancelled
180,70,2024-07-01,2871.2,delivered
181,72,2024-06-22,4930.01,created
182,74,2024-06-13,4753.96,paid
183,75,2024-06-12,1976.55,created
184,75,2024-07-02,3861.56,paid
185,76,2024-06-20,2896.62,paid
186,77,2024-07-08,4250.09,delivered
187,77,2024-05-21,2286.82,created
188,77,2024-06-26,584.34,created
189,77,2024-06-14,3090.92,cancelled
190,78,2024-06-24,1802.82,returned
191,78,2024-05-17,4847.9,paid
192,78,2024-07-14,2570.44,delivered
193,80,2024-05-25,1594.92,cancelled
194,80,2024-06-22,2857.83,returned
195,80,2024-06-14,3856.12,paid
196,81,2024-05-31,843.71,created
197,81,2024-07-05,2794.78,delivered
198,82,2024-05-29,1563.21,paid
199,82,2024-06-08,1387.72,cancelled
200,83,2024-05-22,1297.16,returned
201,84,2024-07-08,3919.45,returned
202,84,2024-07-08,3393.46,cancelled
203,84,2024-06-15,4389.11,delivered
204,85,2024-06-26,807.29,returned
205,86,2024-06-13,4083.48,cancelled
206,86,2024-05-20,2083.74,created
207,86,2024-06-14,2577.84,created
208,86,2024-05-20,2159.32,delivered
209,86,2024-05-22,3401.0,created
210,87,2024-07-11,2781.81,returned
211,87,2024-07-10,2994.42,created
212,87,2024-06-27,4590.72,cancelled
213,87,2024-06-02,1946.87,returned
214,88,2024-05-29,4809.75,returned
215,88,2024-05-25,4149.35,delivered
216,88,2024-05-23,2770.47,paid
217,88,2024-05-18,1614.85,returned
218,89,2024-07-04,2852.37,paid
219,89,2024-06-19,2177.83,delivered
220,89,2024-06-21,2339.46,delivered
221,90,2024-07-12,735.64,delivered
222,90,2024-05-21,1983.61,cancelled
223,90,2024-06-21,1778.66,cancelled
224,90,2024-05-29,2000.13,cancelled
225,90,2024-05-28,4625.36,delivered
226,91,2024-06-22,1080.28,created
227,91,2024-06-14,3015.15,delivered
228,91,2024-05-27,3515.52,cancelled
229,91,2024-05-24,3407.11,returned
230,91,2024-07-03,2128.23,delivered
231,92,2024-06-01,4780.26,delivered
232,92,2024-07-01,1364.02,paid
233,93,2024-05-22,1831.06,created
234,94,2024-07-06,4258.04,cancelled
235,94,2024-05-18,3478.68,cancelled
236,94,2024-05-27,3187.61,paid
237,94,2024-05-30,1313.81,cancelled
238,95,2024-06-26,696.62,delivered
239,96,2024-06-07,4863.15,cancelled
240,96,2024-06-11,3885.76,returned
241,96,2024-06-06,2903.05,delivered
242,96,2024-06-29,4567.88,paid
243,96,2024-06-19,3552.38,cancelled
244,97,2024-06-28,3962.47,returned
245,97,2024-07-02,2873.57,paid
246,97,2024-06-03,4105.67,paid
247,98,2024-05-20,3385.31,delivered
248,98,2024-07-07,4704.32,cancelled
249,100,2024-05-23,3934.03,delivered
250,100,2024-06-27,4573.88,paid
251,101,2024-05-23,4758.86,paid
252,101,2024-06-27,4480.83,created
253,101,2024-06-24,739.66,cancelled
254,102,2024-06-06,2237.75,created
255,102,2024-06-20,1510.42,delivered
256,104,2024-06-16,4061.21,paid
257,104,2024-05-18,1790.96,returned
258,104,2024-05-28,3914.79,returned
259,104,2024-06-27,3269.07,created
260,104,2024-05-16,1651.66,paid
261,105,2024-07-13,2874.97,created
262,105,2024-06-11,1569.38,created
263,105,2024-05-19,1572.98,cancelled
264,105,2024-06-28,782.63,returned
265,106,2024-07-06,573.96,cancelled
266,106,2024-07-09,1588.72,paid
267,106,2024-06-12,2431.58,cancelled
268,106,2024-06-18,1582.54,returned
269,107,2024-05-23,2855.68,delivered
270,109,2024-07-06,2782.97,cancelled
271,109,2024-07-07,591.5,returned
272,109,2024-05-19,3360.52,delivered
273,109,2024-06-08,3862.92,delivered
274,111,2024-06-07,3798.23,created
275,111,2024-07-10,3808.34,delivered
276,112,2024-05-19,2085.35,delivered
277,113,2024-05-31,4236.73,returned
278,113,2024-06-30,3342.81,paid
279,113,2024-05-21,3722.2,returned
280,113,2024-05-18,1820.49,created
281,113,2024-06-03,4486.06,delivered
282,114,2024-07-04,2292.01,cancelled
283,114,2024-06-29,1639.91,paid
284,115,2024-06-18,4379.62,created
285,115,2024-06-16,1729.47,delivered
286,116,2024-06-22,3844.88,returned
287,116,2024-06-16,4881.76,returned
288,116,2024-07-02,2153.06,cancelled
289,117,2024-05-23,3771.87,created
290,117,2024-06-25,3211.04,paid
291,118,2024-06-12,1945.45,created
292,118,2024-06-15,3474.14,delivered
293,118,2024-06-27,3211.8,returned
294,118,2024-05-31,3603.94,delivered
295,119,2024-05-19,3770.66,delivered
296,119,2024-07-13,4991.68,delivered
297,119,2024-05-20,837.69,returned
298,120,2024-07-03,4104.93,paid
299,120,2024-05-18,1142.51,cancelled
300,121,2024-06-26,656.6,created
301,121,2024-06-06,4003.32,delivered
302,121,2024-06-19,2222.84,cancelled
303,121,2024-05-18,3222.93,returned
304,121,2024-06-20,2174.06,created
305,122,2024-05-28,2882.57,returned
306,122,2024-06-14,3423.02,paid
307,122,2024-05-26,616.61,paid
308,122,2024-07-02,2829.85,cancelled
309,124,2024-06-09,3668.17,paid
310,124,2024-07-13,1785.1,returned
311,125,2024-05-26,1110.78,created
312,126,2024-05-31,4544.06,returned
313,126,2024-05-23,4147.31,delivered
314,126,2024-06-17,3692.93,cancelled
315,127,2024-06-12,4510.99,paid
316,127,2024-05-31,4071.63,cancelled
317,127,2024-06-05,1046.13,paid
318,127,2024-05-28,1565.31,returned
319,129,2024-07-07,3075.25,returned
320,129,2024-07-07,1083.97,created
321,131,2024-06-22,4998.18,returned
322,131,2024-07-05,2348.58,returned
323,132,2024-05-22,1063.97,delivered
324,132,2024-05-22,2524.89,cancelled
325,132,2024-06-17,1077.51,cancelled
326,132,2024-07-11,1318.83,paid
327,133,2024-07-02,4598.21,created
328,133,2024-05-27,2831.46,delivered
329,133,2024-05-30,1228.85,paid
330,134,2024-07-04,4527.17,created
331,134,2024-06-08,1383.36,cancelled
332,135,2024-05-27,3312.6,cancelled
333,135,2024-07-05,920.43,paid
334,136,2024-07-10,1193.87,cancelled
335,136,2024-07-12,2019.29,cancelled
336,136,2024-05-18,4213.56,created
337,136,2024-05-22,704.58,cancelled
338,137,2024-06-04,3951.32,returned
339,137,2024-07-14,3375.46,returned
340,138,2024-07-06,1803.52,delivered
341,138,2024-06-30,1601.95,returned
342,138,2024-06-12,2540.95,created
343,138,2024-05-30,2478.22,returned
344,138,2024-06-29,1418.1,cancelled
345,139,2024-06-14,4376.68,delivered
346,140,2024-06-17,4889.18,paid
347,140,2024-06-19,2817.41,created
348,140,2024-06-14,1587.82,created
349,140,2024-06-09,2523.18,paid
350,140,2024-05-24,727.72,returned
351,141,2024-06-24,1617.22,paid
352,141,2024-06-15,4701.88,delivered
353,141,2024-06-02,3934.05,returned
354,141,2024-07-03,2600.67,delivered
355,142,2024-05-17,905.22,returned
356,142,2024-07-03,2557.54,paid
357,142,2024-06-04,3125.05,created
358,144,2024-07-02,3188.83,returned
359,144,2024-06-11,2915.11,created
360,145,2024-05-28,4471.05,delivered
361,145,2024-06-23,2146.72,returned
362,145,2024-05-19,3066.27,paid
363,146,2024-07-07,1798.71,returned
364,146,2024-07-02,2526.59,cancelled
365,147,2024-07-14,3561.79,created
366,147,2024-05-27,4887.87,returned
367,148,2024-06-16,3010.24,delivered
368,148,2024-05-29,1395.76,cancelled
369,149,2024-07-02,681.15,created
370,149,2024-05-28,3711.16,returned
371,149,2024-07-04,2556.45,cancelled
372,150,2024-05-28,1975.85,cancelled
373,150,2024-06-14,1231.26,cancelled
374,150,2024-06-13,3171.76,cancelled
375,150,2024-07-03,2895.53,cancelled
